#	Components for ITSC.MI
#	http://finance.yahoo.com/q/cp?s=ITSC.MI&c=2
#
#Symbol	Name	Last Trade	Change	Volume
IIN.MI	Industria e Innovazione S.p.A.	0.3766 11:25AM EDT	Down 0.0126 (3.24%)	20,277
IKG.MI	Intek Group S.p.A.	0.3195 11:25AM EDT	Down 0.0102 (3.09%)	138,521
IMS.MI	Immsi SpA	0.49 11:25AM EDT	Down 0.03 (5.22%)	1,109,625
IRC.MI	Irce SpA	1.9580 11:25AM EDT	Down 0.1080 (5.23%)	21,718
ISG.MI	Isagro S.p.A.	1.53 11:25AM EDT	Down 0.11 (6.76%)	57,387
ITW.MI	Itway S.p.A.	1.7640 11:25AM EDT	Down 0.04 (2.22%)	8,361
JUVE.MI	Juventus Football Club S.p.A.	0.2510 11:25AM EDT	Down 0.0191 (7.07%)	3,947,446
KNX.MI	Kinexia SpA	0.9535 11:25AM EDT	Down 0.0875 (8.41%)	116,067
KRE.MI	K.R.Energy S.p.A.	0.7360 11:25AM EDT	Down 0.05 (6.36%)	90,610
LD.MI	La Doria SpA	10.35 11:25AM EDT	Down 0.73 (6.59%)	123,183
LIT.MI	Retelit SpA	0.5330 11:34AM EDT	Down 0.0250 (4.48%)	660,957
LR.MI	Landi Renzo S.p.A.	0.7515 11:25AM EDT	Down 0.0590 (7.28%)	582,583
LVEN.MI	LVenture Group Spa	0.7110 11:25AM EDT	Down 0.0680 (8.73%)	65,470
MCH.MI	Mediacontech S.p.A.	0.8860 11:25AM EDT	Down 0.0055 (0.62%)	10,695
ME.MI	Meridie S.p.A.	0.1230 11:25AM EDT	0.00(0.00%)	6,000
MEC.MI	M&C S.p.A.	0.1240 11:25AM EDT	Down 0.0104 (7.74%)	536,179
MIC.MI	Mid Industry Capital SpA	5.9950 11:25AM EDT	Up 0.4950(9.00%)	10
MIT.MI	Mittel S.p.A	1.46 11:25AM EDT	Down 0.05 (3.31%)	25,379
MLM.MI	MolMed S.p.A.	0.3340 11:25AM EDT	Down 0.02 (5.65%)	2,580,797
MN.MI	Arnoldo Mondadori Editore SpA	0.8950 11:25AM EDT	Down 0.0380 (4.07%)	1,149,252
MON.MI	Monrif SpA	0.2847 11:25AM EDT	Down 0.0051 (1.76%)	18,544
MSK.MI	Moleskine SpA	1.5720 11:25AM EDT	Down 0.0470 (2.90%)	970,664
MTV.MI	MONDO TV S.p.A.	2.3180 11:25AM EDT	Down 0.1240 (5.08%)	432,367
NICE.MI	Nice SpA	2.57 11:25AM EDT	Down 0.07 (2.65%)	13,488
NOE.MI	NOEMALIFE S.p.A	5.6050 11:25AM EDT	Down 0.02 (0.36%)	2,559
OLI.MI	Olidata SpA	0.3095 11:25AM EDT	Down 0.0123 (3.82%)	134,605
PAN.MI	Panariagroup Industrie Ceramiche S.p.A.	2.5580 11:25AM EDT	Down 0.0920 (3.47%)	61,848
PG.MI	Seat Pagine Gialle SpA	0.0040 11:25AM EDT	Up 0.0001(2.56%)	160,166,368
PINF.MI	Pininfarina SpA	3.9980 11:25AM EDT	Down 0.2720 (6.37%)	46,565
POL.MI	Poligrafici Editoriale S.p.A.	0.2713 11:25AM EDT	Down 0.0067 (2.41%)	54,132
PQ.MI	Piquadro SpA	1.5490 11:25AM EDT	Down 0.0310 (1.96%)	99,702
PR.MI	Premuda SpA	0.2293 11:25AM EDT	Down 0.0095 (3.98%)	36,935
PRI.MI	Prima Industrie SpA	14.62 11:25AM EDT	Down 0.68 (4.44%)	27,817
PRL.MI	Pierrel S.p.A.	0.6850 11:25AM EDT	Down 0.0520 (7.06%)	353,703
PRO.MI	Banca Profilo S.p.A.	0.2562 11:25AM EDT	Down 0.0118 (4.40%)	2,600,963
PRS.MI	Prelios S.p.A.	0.3628 11:34AM EDT	Down 0.0293 (7.47%)	2,520,389
PRT.MI	Esprinet SpA	7.10 11:25AM EDT	Down 0.29 (3.86%)	358,302
PSF.MI	Poligrafica San Faustino SpA	6.15 11:25AM EDT	Down 0.34 (5.17%)	2,126
RAT.MI	Ratti SpA	2.39 11:25AM EDT	Down 0.05 (2.13%)	12,089
RIC.MI	Gruppo Ceramiche Ricchetti SpA	0.2487 11:25AM EDT	Down 0.0101 (3.90%)	42,442
RM.MI	Reno de Medici SpA	0.3191 11:34AM EDT	Down 0.0234 (6.83%)	971,836
RN.MI	Risanamento S.p.A.	0.1340 11:25AM EDT	Down 0.0102 (7.07%)	884,711
ROS.MI	Rosss S.p.A.	1.10 11:25AM EDT	Down 0.06 (4.93%)	6,234
S24.MI	Il Sole 24 ORE S.p.A.	0.7075 11:25AM EDT	Down 0.0060 (0.84%)	180,337
SAB.MI	Sabaf SpA	11.50 11:25AM EDT	Down 0.50 (4.17%)	25,697
SES.MI	SeSa S.p.A.	13.95 11:34AM EDT	Down 0.79 (5.36%)	8,625
SG.MI	SAES Getters SpA	7.32 11:25AM EDT	Down 0.39 (5.12%)	54,878
SII.MI	Sintesi Società di Investimenti e Partecipazioni S.p.A.	0.0505 11:25AM EDT	Down 0.0014 (2.70%)	26,861
SNA.MI	Snai S.p.A.	1.17 11:25AM EDT	Down 0.08 (6.40%)	279,398
SO.MI	Sogefi SpA	2.05 11:25AM EDT	Down 0.18 (7.91%)	929,773
SRI.MI	Servizi Italia S.p.A.	3.95 11:25AM EDT	Down 0.21 (5.05%)	25,973
SSL.MI	S.S. Lazio S.p.A.	0.6650 11:35AM EDT	Up 0.0150(2.31%)	487,538
STEF.MI	Stefanel S.p.A.	0.2818 11:25AM EDT	Down 0.0068 (2.36%)	157,739
TAS.MI	TAS Tecnologia Avanzata dei Sistemi S.p.A.	0.45 11:25AM EDT	Down 0.04 (8.13%)	20,958
TER.MI	TerniEnergia SpA	1.5570 11:25AM EDT	Down 0.1230 (7.32%)	115,364
TES.MI	Tesmec S.p.A.	0.68 11:25AM EDT	Down 0.03 (4.23%)	481,422
TIS.MI	Tiscali SpA	0.0560 11:34AM EDT	Down 0.0026 (4.44%)	20,843,796
TME.MI	Telecom Italia Media SpA	0.86 11:25AM EDT	Up 0.00(0.35%)	184,322
TXT.MI	TXT e-solutions S.p.A.	7.50 11:25AM EDT	Down 0.21 (2.72%)	41,304
VIN.MI	Vianini Industria SpA	1.17 11:25AM EDT	Down 0.0690 (5.57%)	44,064
VLA.MI	Vianini Lavori SpA	6.96 11:25AM EDT	0.00(0.00%)	1,983
VLS.MI	Valsoia SpA	19.43 11:25AM EDT	Down 1.37 (6.59%)	18,304
XPR.MI	Exprivia SpA	0.7670 11:25AM EDT	Down 0.0470 (5.77%)	272,080
ZUC.MI	Vincenzo Zucchi SpA	0.0431 11:25AM EDT	Down 0.0019 (4.22%)	2,557,531
